CO_UF;UF;SIG_UF;CO_MUNICIPIO;MUNICIPIO;CO_REGIAO;CO_MESORREGIAO;CO_MICRORREGIAO;CO_ENTIDADE;NO_ENTIDADE;POPULACAO_ESTIMADA;N_MATRICULA_MUN;N_MATRICULA_ENT;N_MATRICULA_INTEGRAL_ENT;N_EJA_MUN;N_EJA_ENT;PROPORCAO_MATRICULA_POPULACAO_MUN;PROPORCAO_EJA_MATRICULA_MUN;PROPORCAO_ENT_MATRICULA;PROPORCAL_INTEGRAL_ENT
52;Goias;GO;5211305;Itarumã;5;5205;52018;52067530;ESCOLA MUNICIPAL JOSE ALVES DE ASSIS;7178;1204;47;0;150;NULL;1.67734745054333E+15;1.24584717607973E+16;0.0390365448504983;0
52;Goias;GO;5220207;São Miguel do Araguaia;5;5201;52001;52001237;COLEGIO ESTADUAL DOM BOSCO;21993;5595;660;NULL;3290;105;2.54399126994953E+16;5.88025022341376E+16;0.117962466487936;NULL
50;Mato Grosso do Sul;MS;5002704;Campo Grande;5;5002;50004;50006118;EE PROFª MARIA DE LOURDES TOLEDO AREIAS;895982;233503;1351;NULL;105920;NULL;2.60611262279823E+16;4.53613015678599E+15;0.00578579290201839;NULL
53;Distrito Federal;DF;5300108;Brasília;5;5301;53001;53001192;CED SAGRADA FAMILIA;3015268;720439;681;NULL;469020;NULL;2.38930337203857E+16;6.51019725472941E+15;0.000945256989141343;NULL
53;Distrito Federal;DF;5300108;Brasília;5;5301;53001;53008774;CEF 01 DO CRUZEIRO;3015268;720439;671;NULL;469020;NULL;2.38930337203857E+16;6.51019725472941E+15;0.000931376563456448;NULL
51;Mato Grosso;MT;5108402;Várzea Grande;5;5104;51017;51092611;CMEI ANTONIO NORBERTO DE BARROS CORREA FILHO BEBETO;284971;72805;142;142;69240;NULL;2.5548213677883E+16;9.5103358285832E+15;0.00195041549344138;1
50;Mato Grosso do Sul;MS;5000906;Antônio João;5;5004;50010;50059831;CENTRO DE EDUCACAO INFANTIL ALINE ESPINDOLA MARQUES;8956;3276;125;125;1850;NULL;3.65788298347477E+16;5.64713064713065E+15;0.0381562881562882;1
51;Mato Grosso;MT;5105580;Marcelândia;5;5101;51007;51015773;COLEGIO TIRADENTES;10499;3016;171;NULL;0;NULL;2.87265453852748E+15;0;0.0566976127320955;NULL
52;Goias;GO;5208301;Divinópolis de Goiás;5;5204;52011;52068870;EM RAMIRO PINTO MAGALHAES;4804;1130;86;0;160;NULL;2.35220649458784E+16;1.41592920353982E+15;0.0761061946902655;0
50;Mato Grosso do Sul;MS;5002209;Bonito;5;5004;50009;50014218;EM PROFª DURVALINA DORNELLES TEIXEIRA;21976;5954;517;3;1730;NULL;2.70931925737168E+16;2.90560967416863E+15;0.0868323815922069;0.00562851782363977
52;Goias;GO;5219308;Santa Helena de Goiás;5;5205;52013;52055493;ESCOLA MUNICIPAL VALERIANO RODRIGUES DA SILVA;38648;8870;606;7;3440;NULL;2.29507348375078E+16;3.8782412626832E+15;0.0683201803833145;0.0115511551155116
52;Goias;GO;5208707;Goiânia;5;5203;52010;52034186;CENTRO DE ENSINO EM PERIODO INTEGRAL JOSE HONORATO;1516113;279830;262;NULL;130490;NULL;1.84570675140969E+16;4.66318836436408E+15;0.000936282743094021;NULL
52;Goias;GO;5205513;Cocalzinho de Goiás;5;5204;52012;52044815;ESC MUL NS SENHORA DE FATIMA;20240;5048;388;90;1420;NULL;2.49407114624506E+16;2.81299524564184E+16;0.0768621236133122;0.224438902743142
51;Mato Grosso;MT;5101803;Barra do Garças;5;5102;51011;51024586;EE DOM JOSE SELVA;61012;17379;302;NULL;10830;NULL;2.84845604143447E+15;6.23165889867081E+16;0.0173772944358133;NULL
52;Goias;GO;5218805;Rio Verde;5;5205;52013;52079449;ESCOLA MUNICIPAL DE EDUCACAO INFANTIL MARIETA FERREIRA;235647;48352;207;1;24520;NULL;2.05188268893727E+16;507114493712773;0.00428110522832561;0.00483091787439614
51;Mato Grosso;MT;5103403;Cuiabá;5;5104;51017;51038633;EE PROFESSORA MARIA HERMINIA ALVES;612547;163720;1085;NULL;147190;NULL;2.67277449730388E+16;8.9903493769851E+15;0.00662716833618373;NULL
52;Goias;GO;5222302;Vila Propício;5;5204;52012;52074226;ESCOLA MUNICIPAL GEDOR DE ASSUNCAO;5821;1261;270;3;0;NULL;2.16629445112524E+16;0;0.21411578112609;0.010989010989011
50;Mato Grosso do Sul;MS;5008305;Três Lagoas;5;5003;50007;50012266;EM PRESIDENTE MEDICI;121388;35408;756;65;9980;NULL;2.91692753814216E+16;2.81857207410755E+16;0.0213511070944419;0.085978835978836
51;Mato Grosso;MT;5107909;Sinop;5;5101;51007;51092760;EE PROF EDELI MANTOVANI;142996;40476;2326;NULL;24660;583;2.83056868723601E+16;6.09249925882004E+16;0.0574661527818954;NULL
52;Goias;GO;5210406;Itaberaí;5;5203;52007;52023508;ESCOLA MUNICIPALIZADA JERONIMO JOSE DA SILVA;42900;10490;267;0;3200;NULL;2.44522144522145E+16;3.05052430886559E+16;0.0254528122020972;0
50;Mato Grosso do Sul;MS;5007802;Selvíria;5;5003;50006;50030752;CEI - SELVIRIA ALEXANDRE;6529;1674;156;0;1840;NULL;2.5639454740389E+16;1.09916367980884E+16;0.0931899641577061;0
52;Goias;GO;5208004;Formosa;5;5204;52012;52089070;ESCOLA MUNICIPAL PADRE JOSE RIBEIRO LEOPOLDINO;121617;26886;298;2;9400;NULL;2.21071067367227E+16;3.49624339805103E+16;0.0110838354533958;0.00664451827242525
52;Goias;GO;5209101;Goiatuba;5;5205;52015;52058921;ESCOLA MUNICIPAL PROFESSORA LEILA CARNEIRO;34095;7402;249;1;3520;NULL;2.17099281419563E+16;4.75547149419076E+15;0.0336395568765199;0.00401606425702811
52;Goias;GO;5221601;Uruaçu;5;5202;52004;52012280;CENTRO EDUCACIONAL PIRAMIDES DO SABER;40532;9062;312;NULL;5230;NULL;2.2357643343531E+16;5.77135290222909E+16;0.0344294857647319;NULL
53;Distrito Federal;DF;5300108;Brasília;5;5301;53001;53006194;EC 03 DE PLANALTINA;3015268;720439;497;NULL;469020;NULL;2.38930337203857E+16;6.51019725472941E+15;0.000689857156539277;NULL
51;Mato Grosso;MT;5102603;Campinápolis;5;5102;51010;51022192;ESCOLA MUNICIPAL INDIGENA IMACULADA CONCEICAO;15980;6762;226;0;8870;NULL;4.23153942428035E+16;1.3117420881396E+16;0.0334220644779651;0
52;Goias;GO;5208707;Goiânia;5;5203;52010;52080714;CEI WEMERSON RODRIGUES BERNARDES -ANTIGA CRECHE VILA RICA;1516113;279830;72;72;130490;NULL;1.84570675140969E+16;4.66318836436408E+15;0.000257299074438052;1
51;Mato Grosso;MT;5108402;Várzea Grande;5;5104;51017;51043122;EE GONCALO BOTELHO DE CAMPOS;284971;72805;452;NULL;69240;NULL;2.5548213677883E+16;9.5103358285832E+15;0.0062083648101092;NULL
50;Mato Grosso do Sul;MS;5003702;Dourados;5;5004;50010;50017225;EM PADRE ANCHIETA;222949;60883;195;0;31690;NULL;2.730803905826E+15;520506545341064;0.00320286451061873;0
53;Distrito Federal;DF;5300108;Brasília;5;5301;53001;53001222;CED SIGMA;3015268;720439;1927;NULL;469020;NULL;2.38930337203857E+16;6.51019725472941E+15;0.00267475802947925;NULL
51;Mato Grosso;MT;5103908;General Carneiro;5;5105;51020;51047365;EMPG SAO JOAO BATISTA;5540;1755;164;0;1370;NULL;3.16787003610108E+15;7.80626780626781E+15;0.0934472934472935;0
